City,Region,Date,Time (GMT),Highest,MHHW (ft),MHW (ft),MSL (ft),MTL (ft),MLW (ft),MLLW (ft),Lowest (ft),Inf
San Francisco,West,1/1/1923,0:00,5.923,5.142,4.532,2.514,2.554,0.562,-0.488,-1.675,0
San Francisco,West,2/1/1923,0:00,5.825,4.975,4.493,2.514,2.534,0.572,-0.235,-1.275,0
San Francisco,West,3/1/1923,0:00,5.723,4.512,4.204,2.203,2.213,0.224,-0.507,-1.177,0
San Francisco,West,4/1/1923,0:00,5.825,4.834,4.555,2.544,2.564,0.572,-0.215,-1.275,0
San Francisco,West,5/1/1923,0:00,6.123,4.844,4.384,2.354,2.393,0.395,-0.576,-2.177,0
San Francisco,West,6/1/1923,0:00,6.123,5.162,4.522,2.465,2.514,0.503,-0.576,-1.875,0
San Francisco,West,7/1/1923,0:00,6.025,5.303,4.614,2.564,2.593,0.582,-0.547,-1.475,0
San Francisco,West,8/1/1923,0:00,5.625,5.244,4.614,2.583,2.593,0.582,-0.386,-1.275,0
San Francisco,West,9/1/1923,0:00,5.723,5.234,4.804,2.764,2.793,0.782,0.014,-0.678,0
San Francisco,West,10/1/1923,0:00,5.923,5.113,4.795,2.734,2.764,0.733,-0.146,-0.976,0
San Francisco,West,11/1/1923,0:00,6.524,5.352,4.893,2.803,2.842,0.792,-0.317,-1.377,0
San Francisco,West,12/1/1923,0:00,6.425,5.283,4.624,2.495,2.544,0.464,-0.855,-2.778,0
San Francisco,West,1/1/1924,0:00,6.225,5.323,4.634,2.524,2.554,0.484,-0.678,-2.177,0
San Francisco,West,2/1/1924,0:00,5.923,5.083,4.532,2.442,2.465,0.405,-0.468,-1.977,0
San Francisco,West,3/1/1924,0:00,5.923,4.893,4.444,2.363,2.403,0.372,-0.376,-1.275,0
San Francisco,West,4/1/1924,0:00,5.723,4.722,4.394,2.334,2.374,0.352,-0.517,-1.475,0
San Francisco,West,5/1/1924,0:00,6.025,4.883,4.355,2.295,2.324,0.293,-0.806,-2.075,0
San Francisco,West,6/1/1924,0:00,6.225,5.152,4.473,2.485,2.505,0.523,-0.707,-2.276,0
San Francisco,West,7/1/1924,0:00,6.225,5.323,4.614,2.573,2.623,0.625,-0.645,-2.075,0
San Francisco,West,8/1/1924,0:00,5.923,5.133,4.532,2.495,2.524,0.513,-0.507,-1.777,0
San Francisco,West,9/1/1924,0:00,5.923,5.014,4.654,2.623,2.642,0.634,-0.137,-0.976,0
San Francisco,West,10/1/1924,0:00,6.123,4.814,4.555,2.505,2.534,0.503,-0.346,-1.675,0
San Francisco,West,11/1/1924,0:00,6.123,4.854,4.404,2.324,2.363,0.333,-0.816,-2.177,0
San Francisco,West,12/1/1924,0:00,6.123,5.175,4.512,2.403,2.442,0.385,-0.668,-2.476,0
San Francisco,West,1/1/1925,0:00,6.724,5.103,4.375,2.295,2.324,0.274,-0.757,-1.977,0
San Francisco,West,2/1/1925,0:00,6.323,5.195,4.624,2.662,2.695,0.753,-0.176,-0.976,0
San Francisco,West,3/1/1925,0:00,5.425,4.975,4.585,2.642,2.675,0.762,-0.068,-1.177,0
San Francisco,West,4/1/1925,0:00,5.523,4.765,4.444,2.475,2.514,0.595,-0.346,-0.976,0
San Francisco,West,5/1/1925,0:00,5.923,5.152,4.663,2.675,2.724,0.782,-0.297,-2.177,0
San Francisco,West,6/1/1925,0:00,6.225,5.372,4.683,2.642,2.705,0.723,-0.445,-2.075,0
San Francisco,West,7/1/1925,0:00,6.524,5.513,4.742,2.695,2.724,0.703,-0.458,-1.977,0
San Francisco,West,8/1/1925,0:00,6.425,5.415,4.814,2.695,2.734,0.664,-0.458,-1.875,0
San Francisco,West,9/1/1925,0:00,6.123,5.224,4.824,2.724,2.754,0.694,-0.166,-1.275,0
San Francisco,West,10/1/1925,0:00,5.825,5.195,4.923,2.793,2.833,0.753,-0.077,-0.678,0
San Francisco,West,11/1/1925,0:00,6.323,5.224,4.775,2.652,2.715,0.654,-0.537,-1.577,0
San Francisco,West,12/1/1925,0:00,6.822,5.572,4.932,2.813,2.885,0.835,-0.527,-1.675,0
San Francisco,West,1/1/1926,0:00,6.724,5.572,4.923,2.842,2.895,0.864,-0.337,-1.777,0
San Francisco,West,2/1/1926,0:00,6.724,5.464,4.873,2.872,2.895,0.913,-0.015,-1.177,0
San Francisco,West,3/1/1926,0:00,5.825,5.103,4.755,2.774,2.793,0.844,0.054,-1.377,0
San Francisco,West,4/1/1926,0:00,5.923,5.093,4.673,2.685,2.724,0.782,-0.146,-0.878,0
San Francisco,West,5/1/1926,0:00,5.523,4.975,4.453,2.383,2.465,0.474,-0.776,-1.977,0
San Francisco,West,6/1/1926,0:00,6.123,5.333,4.673,2.564,2.623,0.582,-0.816,-1.977,0
San Francisco,West,7/1/1926,0:00,6.225,5.415,4.683,2.573,2.623,0.552,-0.655,-2.075,0
San Francisco,West,8/1/1926,0:00,6.123,5.372,4.693,2.642,2.675,0.664,-0.458,-1.875,0
San Francisco,West,9/1/1926,0:00,5.523,5.034,4.614,2.564,2.603,0.605,-0.396,-1.577,0
San Francisco,West,10/1/1926,0:00,5.923,5.005,4.683,2.623,2.675,0.674,-0.327,-1.377,0
San Francisco,West,11/1/1926,0:00,6.425,5.333,4.903,2.813,2.862,0.835,-0.366,-1.377,0
San Francisco,West,12/1/1926,0:00,6.123,5.234,4.604,2.554,2.623,0.654,-0.727,-1.675,0
San Francisco,West,1/1/1927,0:00,6.323,5.415,4.693,2.623,2.685,0.684,-0.668,-1.875,0
San Francisco,West,2/1/1927,0:00,6.622,5.415,4.814,2.885,2.934,1.064,0.034,-1.777,0
San Francisco,West,3/1/1927,0:00,6.025,4.785,4.365,2.344,2.403,0.444,-0.517,-1.475,0
San Francisco,West,4/1/1927,0:00,5.825,4.844,4.483,2.442,2.495,0.513,-0.415,-1.177,0
San Francisco,West,5/1/1927,0:00,5.825,5.005,4.404,2.295,2.383,0.352,-0.878,-2.276,0
San Francisco,West,6/1/1927,0:00,6.225,5.395,4.663,2.603,2.675,0.684,-0.707,-2.177,0
San Francisco,West,7/1/1927,0:00,6.123,5.434,4.683,2.554,2.642,0.605,-0.727,-1.577,0
San Francisco,West,8/1/1927,0:00,6.323,5.352,4.742,2.685,2.724,0.713,-0.396,-1.275,0
San Francisco,West,9/1/1927,0:00,6.025,5.215,4.742,2.695,2.744,0.733,-0.186,-0.976,0
San Francisco,West,10/1/1927,0:00,6.123,5.175,4.795,2.754,2.823,0.844,-0.268,-0.878,0
San Francisco,West,11/1/1927,0:00,7.124,5.372,4.903,2.803,2.885,0.864,-0.488,-1.777,0
San Francisco,West,12/1/1927,0:00,6.622,5.562,4.923,2.823,2.905,0.874,-0.527,-1.977,0
San Francisco,West,1/1/1928,0:00,6.225,5.362,4.654,2.593,2.633,0.615,-0.606,-2.276,0
San Francisco,West,2/1/1928,0:00,7.124,5.385,4.722,2.705,2.744,0.782,-0.346,-1.475,0
San Francisco,West,3/1/1928,0:00,6.025,5.034,4.575,2.573,2.623,0.684,-0.386,-1.177,0
San Francisco,West,4/1/1928,0:00,5.723,4.903,4.512,2.495,2.573,0.634,-0.406,-1.675,0
San Francisco,West,5/1/1928,0:00,6.323,5.054,4.453,2.442,2.505,0.562,-0.625,-1.977,0
San Francisco,West,6/1/1928,0:00,6.724,5.362,4.594,2.554,2.633,0.684,-0.727,-2.177,0
San Francisco,West,7/1/1928,0:00,6.524,5.533,4.722,2.652,2.734,0.753,-0.688,-2.075,0
San Francisco,West,8/1/1928,0:00,6.425,5.493,4.814,2.764,2.813,0.825,-0.415,-1.275,0
San Francisco,West,9/1/1928,0:00,5.625,5.152,4.703,2.652,2.695,0.694,-0.268,-1.275,0
San Francisco,West,10/1/1928,0:00,6.123,5.123,4.722,2.613,2.675,0.634,-0.497,-1.977,0
San Francisco,West,11/1/1928,0:00,6.524,5.175,4.644,2.534,2.603,0.572,-0.845,-2.377,0
San Francisco,West,12/1/1928,0:00,7.022,5.464,4.785,2.652,2.734,0.694,-0.806,-2.276,0
San Francisco,West,1/1/1929,0:00,6.323,5.493,4.765,2.715,2.774,0.782,-0.445,-1.977,0
San Francisco,West,2/1/1929,0:00,5.825,5.162,4.512,2.475,2.505,0.503,-0.625,-1.977,0
