City,Region,Date,Time (GMT),Highest,MHHW (ft),MHW (ft),MSL (ft),MTL (ft),MLW (ft),MLLW (ft),Lowest (ft),Inf
San Diego,West,6/1/1928,0:00,7.01,5.409,4.428,2.42,2.45,0.468,-0.65,-2.189,0
San Diego,West,7/1/1928,0:00,6.909,5.55,4.55,2.548,2.571,0.58,-0.66,-2.091,0
San Diego,West,8/1/1928,0:00,6.81,5.56,4.76,2.65,2.689,0.609,-0.45,-1.691,0
San Diego,West,9/1/1928,0:00,6.21,5.321,4.76,2.65,2.67,0.58,-0.211,-1.389,0
San Diego,West,10/1/1928,0:00,6.909,5.34,4.75,2.581,2.611,0.478,-0.431,-1.49,0
San Diego,West,11/1/1928,0:00,7.21,5.219,4.51,2.44,2.47,0.429,-0.739,-1.989,0
San Diego,West,12/1/1928,0:00,7.109,5.311,4.441,2.381,2.411,0.38,-0.841,-2.589,0
San Diego,West,1/1/1929,0:00,NaN,5.311,4.409,2.401,2.42,0.429,-0.621,-2.691,0
San Diego,West,2/1/1929,0:00,NaN,5.39,4.55,2.43,2.45,0.35,-0.582,NaN,0
San Diego,West,3/1/1929,0:00,NaN,5.019,4.369,2.348,2.371,0.36,-0.47,NaN,0
San Diego,West,4/1/1929,0:00,NaN,5.081,4.52,2.44,2.46,0.409,-0.549,NaN,0
San Diego,West,5/1/1929,0:00,NaN,5.239,4.481,2.47,2.489,0.501,-0.611,NaN,0
San Diego,West,6/1/1929,0:00,NaN,5.491,4.52,2.46,2.479,0.449,-0.71,NaN,0
San Diego,West,7/1/1929,0:00,7.411,5.691,4.671,2.66,2.67,0.668,-0.539,-2.091,0
San Diego,West,8/1/1929,0:00,7.109,5.56,4.71,2.63,2.65,0.59,-0.539,-2.291,0
San Diego,West,9/1/1929,0:00,7.01,5.501,4.861,2.739,2.758,0.649,-0.27,-1.691,0
San Diego,West,10/1/1929,0:00,6.111,5.291,4.76,2.601,2.62,0.491,-0.391,-1.09,0
San Diego,West,11/1/1929,0:00,6.708,5.33,4.579,2.519,2.538,0.511,-0.621,-1.691,0
