City,Region,Date,Time (GMT),Highest,MHHW (ft),MHW (ft),MSL (ft),MTL (ft),MLW (ft),MLLW (ft),Lowest (ft),Inf
San Francisco,West,10/1/1985,0:00,6.802,5.595,5.123,3.052,3.125,1.113,-0.015,-0.957,0
San Francisco,West,11/1/1985,0:00,7.065,5.733,5.113,3.003,3.095,1.074,-0.346,-1.918,0
San Francisco,West,12/1/1985,0:00,7.022,5.854,5.103,2.993,3.082,1.064,-0.478,-2.285,0
San Francisco,West,1/1/1986,0:00,7.012,6.045,5.264,3.134,3.213,1.163,-0.196,-2.056,0
San Francisco,West,2/1/1986,0:00,6.832,6.202,5.503,3.574,3.643,1.783,0.625,-1.426,0
San Francisco,West,3/1/1986,0:00,6.894,5.884,5.323,3.404,3.505,1.684,0.605,-0.458,0
San Francisco,West,4/1/1986,0:00,6.445,5.434,4.985,2.934,3.033,1.084,-0.137,-1.665,0
San Francisco,West,5/1/1986,0:00,6.944,5.543,4.975,2.852,2.934,0.894,-0.478,-2.046,0
San Francisco,West,6/1/1986,0:00,7.114,5.782,5.014,2.905,2.993,0.972,-0.478,-2.138,0
San Francisco,West,7/1/1986,0:00,7.124,6.005,5.205,3.125,3.203,1.202,-0.215,-1.856,0
San Francisco,West,8/1/1986,0:00,6.822,5.953,5.264,3.174,3.253,1.235,-0.035,-1.475,0
San Francisco,West,9/1/1986,0:00,6.225,5.815,5.313,3.233,3.305,1.284,0.205,-0.806,0
San Francisco,West,10/1/1986,0:00,6.474,5.684,5.283,3.184,3.253,1.225,0.162,-0.468,0
San Francisco,West,11/1/1986,0:00,7.094,5.904,5.254,3.125,3.203,1.153,-0.215,-1.396,0
San Francisco,West,12/1/1986,0:00,7.452,6.294,5.484,3.253,3.364,1.245,-0.327,-1.997,0
San Francisco,West,1/1/1987,0:00,7.222,5.972,5.133,2.944,3.023,0.913,-0.576,-2.007,0
San Francisco,West,2/1/1987,0:00,6.822,5.913,5.215,3.115,3.174,1.133,-0.048,-1.436,0
San Francisco,West,3/1/1987,0:00,6.504,5.552,5.054,2.954,2.993,0.943,-0.048,-1.265,0
San Francisco,West,4/1/1987,0:00,6.215,5.293,4.785,2.695,2.774,0.762,-0.478,-1.298,0
San Francisco,West,5/1/1987,0:00,7.203,5.835,5.175,3.043,3.154,1.143,-0.327,-1.167,0
San Francisco,West,6/1/1987,0:00,7.003,5.815,5.054,2.934,3.033,1.015,-0.537,-1.948,0
San Francisco,West,7/1/1987,0:00,7.344,6.025,5.254,3.134,3.203,1.163,-0.196,-1.806,0
San Francisco,West,8/1/1987,0:00,7.314,6.123,5.385,3.305,3.354,1.314,0.195,-1.298,0
San Francisco,West,9/1/1987,0:00,6.753,5.904,5.323,3.213,3.292,1.255,0.123,-1.026,0
San Francisco,West,10/1/1987,0:00,6.592,5.805,5.333,3.213,3.292,1.255,0.044,-0.845,0
San Francisco,West,11/1/1987,0:00,6.924,5.992,5.352,3.194,3.272,1.192,-0.097,-1.396,0
San Francisco,West,12/1/1987,0:00,7.383,6.192,5.323,3.154,3.253,1.173,-0.356,-2.167,0
San Francisco,West,1/1/1988,0:00,7.872,5.992,5.133,2.984,3.082,1.035,-0.445,-2.456,0
San Francisco,West,2/1/1988,0:00,6.875,5.864,5.175,3.062,3.134,1.104,-0.097,-1.567,0
San Francisco,West,3/1/1988,0:00,6.353,5.444,4.965,2.862,2.934,0.904,-0.137,-0.967,0
San Francisco,West,4/1/1988,0:00,6.543,5.543,5.024,2.925,2.993,0.963,-0.156,-1.226,0
